60.4,28.95,71.05
60.5,29.86,70.14
60.6,29.13,70.87
60.7,28.96,71.04
60.8,28.93,71.07
60.9,28.21,71.79
61,29.07,70.93
61.1,28.97,71.03
61.2,29.18,70.82
61.3,28.38,71.62
61.4,28.47,71.53
61.5,28.33,71.67
61.6,29.23,70.77
61.7,28.32,71.68
61.8,28.42,71.58
61.9,28.75,71.25
62,28.06,71.94
62.1,28.1,71.9
62.2,28.06,71.94
62.3,28.43,71.57
62.4,28.39,71.61
62.5,28.91,71.09
62.6,28.47,71.53
62.7,28.48,71.52
62.8,27.84,72.16
62.9,27.71,72.29
63,27.21,72.79
63.1,27.39,72.61
63.2,27.83,72.17
63.3,27.88,72.12
63.4,26.78,73.22
63.5,27.62,72.38
63.6,27.22,72.78
63.7,27.13,72.87
63.8,26.65,73.35
63.9,27.61,72.39
64,26.51,73.49
64.1,27.25,72.75
64.2,27,73
64.3,27.04,72.96
64.4,26.71,73.29
64.5,26.51,73.49
64.6,26.73,73.27
64.7,26.65,73.35
64.8,27.12,72.88
64.9,26.4,73.6
65,27.2,72.8
65.1,26.3,73.7
65.2,26.43,73.57
65.3,25.41,74.59
65.4,26.04,73.96
65.5,26,74
65.6,26.55,73.45
65.7,25.99,74.01
65.8,26.11,73.89
65.9,25.2,74.8
66,25.77,74.23
66.1,26.55,73.45
66.2,25.52,74.48
66.3,25.83,74.17
66.4,25.27,74.73
66.5,24.84,75.16
66.6,25.03,74.97
66.7,24.82,75.18
66.8,25.19,74.81
66.9,24.89,75.11
67,25.25,74.75
67.1,25.26,74.74
67.2,24.82,75.18
67.3,24.26,75.74
67.4,24.6,75.4
67.5,23.88,76.12
67.6,24.49,75.51
67.7,24.54,75.46
67.8,23.88,76.12
67.9,24.44,75.56
68,23.79,76.21
68.1,24.41,75.59
68.2,24.2,75.8
68.3,24.06,75.94
68.4,24.53,75.47
68.5,23.25,76.75
68.6,23.02,76.98
68.7,23.92,76.08
68.8,23.28,76.72
68.9,23.51,76.49
69,23.05,76.95
69.1,23.35,76.65
69.2,23.04,76.96
69.3,22.69,77.31
69.4,23.19,76.81
69.5,23.2,76.8
69.6,23.08,76.92
69.7,23.06,76.94
69.8,22.94,77.06
69.9,22.01,77.99
70,22.96,77.04
70.1,22.41,77.59
70.2,22.71,77.29
70.3,22.88,77.12
70.4,22.58,77.42
70.5,22.36,77.64
70.6,21.86,78.14
70.7,22.12,77.88
70.8,21.81,78.19
70.9,22.21,77.79
71,21.4,78.6
71.1,21.47,78.53
71.2,22,78
71.3,21.51,78.49
71.4,21.63,78.37
71.5,21.51,78.49
71.6,21.2,78.8
71.7,21.07,78.93
71.8,20.05,79.95
71.9,21.25,78.75
72,21.78,78.22
72.1,20.41,79.59
72.2,21.5,78.5
72.3,20.46,79.54
72.4,20.74,79.26
72.5,20.16,79.84
72.6,20.88,79.12
72.7,20.45,79.55
72.8,19.69,80.31
72.9,19.81,80.19
73,20.94,79.06
73.1,19.59,80.41
73.2,19.86,80.14
73.3,20.68,79.32
73.4,19.75,80.25
73.5,19.48,80.52
73.6,20.69,79.31
73.7,20.73,79.27
73.8,19.29,80.71
73.9,19.82,80.18
74,19.38,80.62
74.1,19.22,80.78
74.2,20.03,79.97
74.3,18.82,81.18
74.4,19.26,80.74
74.5,19.3,80.7
74.6,18.73,81.27
74.7,18.78,81.22
74.8,19.71,80.29
74.9,18.78,81.22
75,19.04,80.96
75.1,18.4,81.6
75.2,19.39,80.61
75.3,18.43,81.57
75.4,18.59,81.41
75.5,18.22,81.78
75.6,17.68,82.32
75.7,18.39,81.61
75.8,18.14,81.86
75.9,17.67,82.33
76,18.19,81.81
76.1,17.48,82.52
76.2,17.6,82.4
76.3,17.28,82.72
76.4,17.49,82.51
76.5,17.63,82.37
76.6,18.02,81.98
76.7,17.83,82.17
76.8,17.59,82.41
76.9,16.84,83.16
77,17.3,82.7
77.1,16.74,83.26
77.2,16.12,83.88
77.3,16.78,83.22
77.4,17.52,82.48
77.5,16.68,83.32
77.6,16.47,83.53
77.7,16.97,83.03
77.8,15.94,84.06
77.9,16.18,83.82
78,16.24,83.76
78.1,16.61,83.39
78.2,15.99,84.01
78.3,16.16,83.84
78.4,16.72,83.28
78.5,16.03,83.97
78.6,15.5,84.5
78.7,15.92,84.08
78.8,16.16,83.84
78.9,15.33,84.67
79,15.7,84.3
79.1,15.69,84.31
79.2,15.8,84.2
79.3,15.2,84.8
79.4,15.14,84.86
79.5,15.25,84.75
79.6,14.9,85.1
79.7,14.97,85.03
79.8,15.53,84.47
79.9,14.86,85.14
80,14.82,85.18
80.1,15.12,84.88
80.2,14.81,85.19
80.3,15.02,84.98
80.4,14.71,85.29
80.5,14.27,85.73
80.6,14.81,85.19
80.7,13.78,86.22
80.8,14.01,85.99
80.9,14.33,85.67
81,13.63,86.37
81.1,14.03,85.97
81.2,13.38,86.62
81.3,14.33,85.67
81.4,13.87,86.13
81.5,14.38,85.62
81.6,13.3,86.7
81.7,13.18,86.82
81.8,14.44,85.56
81.9,13.64,86.36
82,13.74,86.26
82.1,13.31,86.69
82.2,12.92,87.08
82.3,13.03,86.97
82.4,12.5,87.5
82.5,13.1,86.9
82.6,12.82,87.18
82.7,12.45,87.55
82.8,12.88,87.12
82.9,12.69,87.31
83,13.03,86.97
83.1,12.47,87.53
83.2,11.96,88.04
83.3,12.88,87.12
